DATA,PRODUTO,PRAÇA,TIPO,UNIDADE,PREÇO
25/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
26/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
27/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
28/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
31/05/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
01/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
02/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
04/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
07/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
08/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
09/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
10/06/2021,Abacaxi,SALVADOR,Médio,cento,"R$ 150,00"
